model,horizon,label,n,mean_pinball,median_mape_pct,coverage80_pct,direction_accuracy_pct,rank_pinball
XGBoost-Quantile,63,3M,11,0.058016112080000244,15.632272346809332,63.63636363636363,81.81818181818183,1.0
XGBoost-Quantile,126,6M,11,0.0422984804915909,12.585883927284572,81.81818181818183,90.9090909090909,1.0
XGBoost-Quantile,252,12M,11,0.107176586175385,28.38348723985544,81.81818181818183,90.9090909090909,1.0
