model,horizon,label,q10_toman,q50_toman,q90_toman,current_toman,q10_return_pct,q50_return_pct,q90_return_pct
TimesFM-3,63,3M,25884644.16413715,31291222.670078818,37947404.0377219,23878100.0,8.403282355535623,31.0456973966891,58.921371623880894
TimesFM-3,126,6M,31057899.749944016,40137134.052832246,50301300.451758504,23878100.0,30.068555496224647,68.09182494768112,110.65872264442524
TimesFM-3,252,12M,42030714.605394766,51884772.48006,68026119.3837167,23878100.0,76.02202271284048,117.29020516732906,184.88916364248706
