data_date,horizon,label,q10_toman,q50_toman,q90_toman,current_toman,q10_return_pct,q50_return_pct,q90_return_pct
2026-09-21,63,3M,22341000.322754283,26157015.475652236,32291410.155111857,23859100.0,-6.362770084561942,9.631190931980814,35.34211330314998
2026-09-21,126,6M,23230698.744963888,28920171.81380803,41462279.626542024,23859100.0,-2.633801170354755,21.21233329760146,73.77973027709355
2026-09-21,252,12M,24031015.842253625,37743627.42489144,55419836.69056085,23859100.0,0.7205462161339993,58.19384396264504,132.2796613894105
