data_date,horizon,label,q10_toman,q50_toman,q90_toman,current_toman,q10_return_pct,q50_return_pct,q90_return_pct
2026-09-20,63,3M,22508107.574558068,27180063.64977473,33421529.495140426,24123700.0,-6.697117048553625,12.669547580904815,38.54230277751931
2026-09-20,126,6M,23225648.06335828,28348203.96732952,41737528.23083619,24123700.0,-3.722695675380305,17.51184091714586,73.01462143384386
2026-09-20,252,12M,24119181.38806359,40332364.53947035,60296086.2976181,24123700.0,-0.0187310070031143,67.1897948468533,149.94543249011593
2026-09-21,63,3M,22325622.657941274,26139011.18709388,32269183.4654144,23842700.0,-6.3628588291541055,9.631087029127894,35.341985032795755
2026-09-21,126,6M,23214708.686617743,28769370.464911416,40940635.75379411,23842700.0,-2.633893449073544,20.66322381656196,71.71140749073768
2026-09-21,252,12M,24014474.912957728,37498937.253589086,55381690.33810092,23842700.0,0.7204507583358,57.27638754666664,132.27944124659086
2026-09-22,63,3M,22337549.01117663,27271146.54085319,32327769.28582505,23873400.0,-6.433314855962569,14.232352915182544,35.41334408096481
2026-09-22,126,6M,23024343.030275658,27792371.666010227,42618240.1636782,23873400.0,-3.55649790027538,16.41564111525893,78.51768145164995
2026-09-22,252,12M,23899736.11109172,36659281.46889886,61620215.55845109,23873400.0,0.1103157115941666,53.55701939773498,158.11244128800715
