model,horizon,label,q10_toman,q50_toman,q90_toman,current_toman,q10_return_pct,q50_return_pct,q90_return_pct
Chronos-2,63,3M,21553757.35899469,30225526.923975233,40247679.04663133,23878100.0,-9.734202641773471,26.582629790373737,68.55478051700649
Chronos-2,126,6M,18528936.58458972,37069908.85262192,55136639.244823776,23878100.0,-22.401964207412984,55.24647628003032,130.90882124132062
Chronos-2,252,12M,11401985.85160289,48122044.997849844,89584406.9743429,23878100.0,-52.24919130247847,101.53213613248057,275.1739333294646
