model,horizon,label,n,mean_pinball,median_mape_pct,coverage80_pct,direction_accuracy_pct,rank_pinball
Chronos-2,63,3M,11,0.04989503051335376,15.650461955274036,72.72727272727273,63.63636363636363,1.0
Chronos-2,126,6M,11,0.053752260341644355,14.518498243774431,90.9090909090909,72.72727272727273,1.0
Chronos-2,252,12M,11,0.13374577686665773,31.95468061275106,81.81818181818183,81.81818181818183,1.0
