model,completed_horizons,avg_pinball,avg_rank,avg_mape_pct,avg_coverage80_pct,avg_direction_accuracy_pct,avg_mape_vs_naive_delta_pctpt,winner
XGBoost-Quantile,3,0.06916372624899203,1.3333333333333333,18.867214504649784,75.75757575757576,87.87878787878788,-4.5882516432576015,True
TimesFM-3,3,0.07703228251394628,2.6666666666666665,22.519502350125165,72.72727272727273,78.7878787878788,-0.9359637977822205,False
Chronos-2,3,0.07913102257388525,2.6666666666666665,20.707880270599837,81.81818181818183,72.72727272727273,-2.7475858773075506,False
Moirai-2.0,3,0.10117602036824812,3.3333333333333335,21.74683390662683,48.48484848484848,63.63636363636363,-1.7086322412805568,False
